date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:18:29	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:29%20GMT	https://deanattali.com/tutorials	deanattali.com/tutorials	(from https://deanattali.com/)
04:18:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:30%20GMT	http://deanattali.com/tutorials/	deanattali.com/tutorials/index.html	(from https://deanattali.com/)
04:18:30	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:30%20GMT	https://deanattali.com/tags	deanattali.com/tags	(from https://deanattali.com/)
04:18:31	3911/3911	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Nov%202018%2002:18:31%20GMT	https://deanattali.com/cdn-cgi/l/email-protection	deanattali.com/cdn-cgi/l/email-protection.html	(from https://deanattali.com/)
04:18:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Nov%202018%2002:18:32%20GMT	http://deanattali.com/tags/	deanattali.com/tags/index.html	(from https://deanattali.com/)
04:18:33	27271/27271	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/mutate-non-vectorized/	deanattali.com/blog/mutate-non-vectorized/index.html	(from https://deanattali.com/)
04:18:33	26264/26264	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/cranalerts/	deanattali.com/blog/cranalerts/index.html	(from https://deanattali.com/)
04:18:33	20221/20221	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/shiny-use-cases-datacamp-course/	deanattali.com/blog/shiny-use-cases-datacamp-course/index.html	(from https://deanattali.com/)
04:18:34	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bda1ec4-4d7%22	https://deanattali.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	deanattali.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://deanattali.com/)
04:18:34	35647/35647	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/shinyalert-package/	deanattali.com/blog/shinyalert-package/index.html	(from https://deanattali.com/)
04:18:34	28929/28929	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/colourpicker-update-alpha/	deanattali.com/blog/colourpicker-update-alpha/index.html	(from https://deanattali.com/)
04:18:36	22800/22800	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/plot-colour-helper/	deanattali.com/blog/plot-colour-helper/index.html	(from https://deanattali.com/)
04:18:36	56913/56913	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Oct%202018%2018:36:45%20GMT	https://deanattali.com/blog/user2017/	deanattali.com/blog/user2017/index.html	(from https://deanattali.com/)
